,live_in_super,age_of_building,average_tenant_age,monthly_average_rent,complaints,traps,log_sq_foot,m,b
1,0,4.7,5.387742357,3.84694905,1,7,1.415660545,1,1
2,0,4.7,5.387742357,3.84694905,0,7,1.415660545,2,1
3,0,4.7,5.387742357,3.84694905,1,7,1.415660545,3,1
4,0,4.7,5.387742357,3.84694905,1,7,1.415660545,4,1
5,0,4.7,5.387742357,3.84694905,0,7,1.415660545,5,1
6,0,4.7,5.387742357,3.84694905,1,7,1.415660545,6,1
7,0,4.7,5.387742357,3.84694905,2,6,1.415660545,7,1
8,0,4.7,5.387742357,3.84694905,0,7,1.415660545,8,1
9,0,4.7,5.387742357,3.84694905,4,8,1.415660545,9,1
10,0,4.7,5.387742357,3.84694905,4,8,1.415660545,10,1
11,0,4.7,5.387742357,3.84694905,0,9,1.415660545,11,1
12,0,4.7,5.387742357,3.84694905,2,8,1.415660545,12,1
13,0,4.7,5.387742357,3.84694905,9,8,1.415660545,13,1
14,0,4.7,5.387742357,3.84694905,10,8,1.415660545,14,1
15,0,4.7,5.387742357,3.84694905,3,7,1.415660545,15,1
16,0,4.7,5.387742357,3.84694905,6,8,1.415660545,16,1
17,0,4.7,5.387742357,3.84694905,4,9,1.415660545,17,1
18,0,4.7,5.387742357,3.84694905,1,9,1.415660545,18,1
19,0,4.7,5.387742357,3.84694905,8,10,1.415660545,19,1
20,0,4.7,5.387742357,3.84694905,7,9,1.415660545,20,1
21,0,4.7,5.387742357,3.84694905,3,10,1.415660545,21,1
22,0,4.7,5.387742357,3.84694905,7,10,1.415660545,22,1
23,0,4.7,5.387742357,3.84694905,7,10,1.415660545,23,1
24,0,4.7,5.387742357,3.84694905,5,11,1.415660545,24,1
25,0,4.7,5.387742357,3.84694905,4,11,1.415660545,25,1
26,0,4.7,5.387742357,3.84694905,7,11,1.415660545,26,1
27,0,4.7,5.387742357,3.84694905,3,12,1.415660545,27,1
28,0,4.7,5.387742357,3.84694905,4,12,1.415660545,28,1
29,0,4.7,5.387742357,3.84694905,1,12,1.415660545,29,1
30,0,4.7,5.387742357,3.84694905,5,11,1.415660545,30,1
31,0,4.7,5.387742357,3.84694905,4,11,1.415660545,31,1
32,0,4.7,5.387742357,3.84694905,11,11,1.415660545,32,1
33,0,4.7,5.387742357,3.84694905,11,11,1.415660545,33,1
34,0,4.7,5.387742357,3.84694905,5,11,1.415660545,34,1
35,0,4.7,5.387742357,3.84694905,3,11,1.415660545,35,1
36,0,4.7,5.387742357,3.84694905,17,10,1.415660545,36,1
37,0,4.3,4.956661803,3.563515732,0,8,1.536732316,1,2
38,0,4.3,4.956661803,3.563515732,0,8,1.536732316,2,2
39,0,4.3,4.956661803,3.563515732,0,8,1.536732316,3,2
40,0,4.3,4.956661803,3.563515732,0,8,1.536732316,4,2
41,0,4.3,4.956661803,3.563515732,1,8,1.536732316,5,2
42,0,4.3,4.956661803,3.563515732,0,8,1.536732316,6,2
43,0,4.3,4.956661803,3.563515732,0,7,1.536732316,7,2
44,0,4.3,4.956661803,3.563515732,0,6,1.536732316,8,2
45,0,4.3,4.956661803,3.563515732,1,7,1.536732316,9,2
46,0,4.3,4.956661803,3.563515732,0,7,1.536732316,10,2
47,0,4.3,4.956661803,3.563515732,0,6,1.536732316,11,2
48,0,4.3,4.956661803,3.563515732,3,7,1.536732316,12,2
49,0,4.3,4.956661803,3.563515732,3,7,1.536732316,13,2
50,0,4.3,4.956661803,3.563515732,1,8,1.536732316,14,2
51,0,4.3,4.956661803,3.563515732,0,8,1.536732316,15,2
52,0,4.3,4.956661803,3.563515732,2,7,1.536732316,16,2
53,0,4.3,4.956661803,3.563515732,2,6,1.536732316,17,2
54,0,4.3,4.956661803,3.563515732,3,5,1.536732316,18,2
55,0,4.3,4.956661803,3.563515732,1,5,1.536732316,19,2
56,0,4.3,4.956661803,3.563515732,6,4,1.536732316,20,2
57,0,4.3,4.956661803,3.563515732,7,4,1.536732316,21,2
58,0,4.3,4.956661803,3.563515732,14,3,1.536732316,22,2
59,0,4.3,4.956661803,3.563515732,1,4,1.536732316,23,2
60,0,4.3,4.956661803,3.563515732,2,5,1.536732316,24,2
61,0,4.3,4.956661803,3.563515732,9,4,1.536732316,25,2
62,0,4.3,4.956661803,3.563515732,3,4,1.536732316,26,2
63,0,4.3,4.956661803,3.563515732,5,5,1.536732316,27,2
64,0,4.3,4.956661803,3.563515732,6,5,1.536732316,28,2
65,0,4.3,4.956661803,3.563515732,4,6,1.536732316,29,2
66,0,4.3,4.956661803,3.563515732,1,5,1.536732316,30,2
67,0,4.3,4.956661803,3.563515732,9,5,1.536732316,31,2
68,0,4.3,4.956661803,3.563515732,3,4,1.536732316,32,2
69,0,4.3,4.956661803,3.563515732,8,5,1.536732316,33,2
70,0,4.3,4.956661803,3.563515732,4,4,1.536732316,34,2
71,0,4.3,4.956661803,3.563515732,2,4,1.536732316,35,2
72,0,4.3,4.956661803,3.563515732,4,4,1.536732316,36,2
73,0,4.9,4.785826135,3.028668375,0,6,1.955035693,1,3
74,0,4.9,4.785826135,3.028668375,1,6,1.955035693,2,3
75,0,4.9,4.785826135,3.028668375,0,6,1.955035693,3,3
76,0,4.9,4.785826135,3.028668375,2,5,1.955035693,4,3
77,0,4.9,4.785826135,3.028668375,0,5,1.955035693,5,3
78,0,4.9,4.785826135,3.028668375,0,6,1.955035693,6,3
79,0,4.9,4.785826135,3.028668375,1,5,1.955035693,7,3
80,0,4.9,4.785826135,3.028668375,4,6,1.955035693,8,3
81,0,4.9,4.785826135,3.028668375,2,5,1.955035693,9,3
82,0,4.9,4.785826135,3.028668375,1,4,1.955035693,10,3
83,0,4.9,4.785826135,3.028668375,2,3,1.955035693,11,3
84,0,4.9,4.785826135,3.028668375,13,2,1.955035693,12,3
85,0,4.9,4.785826135,3.028668375,6,3,1.955035693,13,3
86,0,4.9,4.785826135,3.028668375,25,3,1.955035693,14,3
87,0,4.9,4.785826135,3.028668375,7,2,1.955035693,15,3
88,0,4.9,4.785826135,3.028668375,8,1,1.955035693,16,3
89,0,4.9,4.785826135,3.028668375,15,1,1.955035693,17,3
90,0,4.9,4.785826135,3.028668375,20,0,1.955035693,18,3
91,0,4.9,4.785826135,3.028668375,21,1,1.955035693,19,3
92,0,4.9,4.785826135,3.028668375,9,2,1.955035693,20,3
93,0,4.9,4.785826135,3.028668375,12,3,1.955035693,21,3
94,0,4.9,4.785826135,3.028668375,28,3,1.955035693,22,3
95,0,4.9,4.785826135,3.028668375,31,3,1.955035693,23,3
96,0,4.9,4.785826135,3.028668375,22,3,1.955035693,24,3
97,0,4.9,4.785826135,3.028668375,12,2,1.955035693,25,3
98,0,4.9,4.785826135,3.028668375,9,3,1.955035693,26,3
99,0,4.9,4.785826135,3.028668375,28,3,1.955035693,27,3
100,0,4.9,4.785826135,3.028668375,19,3,1.955035693,28,3
101,0,4.9,4.785826135,3.028668375,6,3,1.955035693,29,3
102,0,4.9,4.785826135,3.028668375,4,4,1.955035693,30,3
103,0,4.9,4.785826135,3.028668375,13,3,1.955035693,31,3
104,0,4.9,4.785826135,3.028668375,19,2,1.955035693,32,3
105,0,4.9,4.785826135,3.028668375,41,2,1.955035693,33,3
106,0,4.9,4.785826135,3.028668375,14,1,1.955035693,34,3
107,0,4.9,4.785826135,3.028668375,25,1,1.955035693,35,3
108,0,4.9,4.785826135,3.028668375,30,1,1.955035693,36,3
109,0,5.1,4.733670299,4.019236837,0,7,1.562306884,1,4
110,0,5.1,4.733670299,4.019236837,0,7,1.562306884,2,4
111,0,5.1,4.733670299,4.019236837,0,8,1.562306884,3,4
112,0,5.1,4.733670299,4.019236837,0,8,1.562306884,4,4
113,0,5.1,4.733670299,4.019236837,1,8,1.562306884,5,4
114,0,5.1,4.733670299,4.019236837,1,8,1.562306884,6,4
115,0,5.1,4.733670299,4.019236837,0,8,1.562306884,7,4
116,0,5.1,4.733670299,4.019236837,2,8,1.562306884,8,4
117,0,5.1,4.733670299,4.019236837,0,9,1.562306884,9,4
118,0,5.1,4.733670299,4.019236837,0,10,1.562306884,10,4
119,0,5.1,4.733670299,4.019236837,1,9,1.562306884,11,4
120,0,5.1,4.733670299,4.019236837,2,10,1.562306884,12,4
121,0,5.1,4.733670299,4.019236837,1,9,1.562306884,13,4
122,0,5.1,4.733670299,4.019236837,3,9,1.562306884,14,4
123,0,5.1,4.733670299,4.019236837,0,9,1.562306884,15,4
124,0,5.1,4.733670299,4.019236837,2,9,1.562306884,16,4
125,0,5.1,4.733670299,4.019236837,1,10,1.562306884,17,4
126,0,5.1,4.733670299,4.019236837,2,10,1.562306884,18,4
127,0,5.1,4.733670299,4.019236837,13,9,1.562306884,19,4
128,0,5.1,4.733670299,4.019236837,3,9,1.562306884,20,4
129,0,5.1,4.733670299,4.019236837,6,9,1.562306884,21,4
130,0,5.1,4.733670299,4.019236837,4,9,1.562306884,22,4
131,0,5.1,4.733670299,4.019236837,12,8,1.562306884,23,4
132,0,5.1,4.733670299,4.019236837,6,7,1.562306884,24,4
133,0,5.1,4.733670299,4.019236837,14,7,1.562306884,25,4
134,0,5.1,4.733670299,4.019236837,6,6,1.562306884,26,4
135,0,5.1,4.733670299,4.019236837,8,6,1.562306884,27,4
136,0,5.1,4.733670299,4.019236837,8,5,1.562306884,28,4
137,0,5.1,4.733670299,4.019236837,3,5,1.562306884,29,4
138,0,5.1,4.733670299,4.019236837,1,5,1.562306884,30,4
139,0,5.1,4.733670299,4.019236837,10,6,1.562306884,31,4
140,0,5.1,4.733670299,4.019236837,8,6,1.562306884,32,4
141,0,5.1,4.733670299,4.019236837,14,7,1.562306884,33,4
142,0,5.1,4.733670299,4.019236837,6,6,1.562306884,34,4
143,0,5.1,4.733670299,4.019236837,3,7,1.562306884,35,4
144,0,5.1,4.733670299,4.019236837,0,8,1.562306884,36,4
145,1,4.9,4.513705115,3.676609745,0,7,1.747460334,1,5
146,1,4.9,4.513705115,3.676609745,0,7,1.747460334,2,5
147,1,4.9,4.513705115,3.676609745,0,8,1.747460334,3,5
148,1,4.9,4.513705115,3.676609745,0,7,1.747460334,4,5
149,1,4.9,4.513705115,3.676609745,2,6,1.747460334,5,5
150,1,4.9,4.513705115,3.676609745,0,7,1.747460334,6,5
151,1,4.9,4.513705115,3.676609745,0,8,1.747460334,7,5
152,1,4.9,4.513705115,3.676609745,0,7,1.747460334,8,5
153,1,4.9,4.513705115,3.676609745,1,6,1.747460334,9,5
154,1,4.9,4.513705115,3.676609745,2,6,1.747460334,10,5
155,1,4.9,4.513705115,3.676609745,0,6,1.747460334,11,5
156,1,4.9,4.513705115,3.676609745,2,5,1.747460334,12,5
157,1,4.9,4.513705115,3.676609745,7,4,1.747460334,13,5
158,1,4.9,4.513705115,3.676609745,11,5,1.747460334,14,5
159,1,4.9,4.513705115,3.676609745,2,6,1.747460334,15,5
160,1,4.9,4.513705115,3.676609745,3,7,1.747460334,16,5
161,1,4.9,4.513705115,3.676609745,1,6,1.747460334,17,5
162,1,4.9,4.513705115,3.676609745,2,5,1.747460334,18,5
163,1,4.9,4.513705115,3.676609745,4,6,1.747460334,19,5
164,1,4.9,4.513705115,3.676609745,2,6,1.747460334,20,5
165,1,4.9,4.513705115,3.676609745,6,5,1.747460334,21,5
166,1,4.9,4.513705115,3.676609745,9,4,1.747460334,22,5
167,1,4.9,4.513705115,3.676609745,8,3,1.747460334,23,5
168,1,4.9,4.513705115,3.676609745,7,4,1.747460334,24,5
169,1,4.9,4.513705115,3.676609745,7,4,1.747460334,25,5
170,1,4.9,4.513705115,3.676609745,14,3,1.747460334,26,5
171,1,4.9,4.513705115,3.676609745,9,2,1.747460334,27,5
172,1,4.9,4.513705115,3.676609745,16,3,1.747460334,28,5
173,1,4.9,4.513705115,3.676609745,5,2,1.747460334,29,5
174,1,4.9,4.513705115,3.676609745,8,2,1.747460334,30,5
175,1,4.9,4.513705115,3.676609745,13,3,1.747460334,31,5
176,1,4.9,4.513705115,3.676609745,17,2,1.747460334,32,5
177,1,4.9,4.513705115,3.676609745,26,3,1.747460334,33,5
178,1,4.9,4.513705115,3.676609745,7,2,1.747460334,34,5
179,1,4.9,4.513705115,3.676609745,6,3,1.747460334,35,5
180,1,4.9,4.513705115,3.676609745,5,4,1.747460334,36,5
181,0,4.9,4.854457905,3.37780335,0,5,2.055310072,1,6
182,0,4.9,4.854457905,3.37780335,3,4,2.055310072,2,6
183,0,4.9,4.854457905,3.37780335,2,5,2.055310072,3,6
184,0,4.9,4.854457905,3.37780335,0,5,2.055310072,4,6
185,0,4.9,4.854457905,3.37780335,0,4,2.055310072,5,6
186,0,4.9,4.854457905,3.37780335,3,4,2.055310072,6,6
187,0,4.9,4.854457905,3.37780335,3,4,2.055310072,7,6
188,0,4.9,4.854457905,3.37780335,6,3,2.055310072,8,6
189,0,4.9,4.854457905,3.37780335,10,3,2.055310072,9,6
190,0,4.9,4.854457905,3.37780335,2,4,2.055310072,10,6
191,0,4.9,4.854457905,3.37780335,2,4,2.055310072,11,6
192,0,4.9,4.854457905,3.37780335,9,4,2.055310072,12,6
193,0,4.9,4.854457905,3.37780335,10,3,2.055310072,13,6
194,0,4.9,4.854457905,3.37780335,8,4,2.055310072,14,6
195,0,4.9,4.854457905,3.37780335,10,3,2.055310072,15,6
196,0,4.9,4.854457905,3.37780335,6,4,2.055310072,16,6
197,0,4.9,4.854457905,3.37780335,6,5,2.055310072,17,6
198,0,4.9,4.854457905,3.37780335,15,4,2.055310072,18,6
199,0,4.9,4.854457905,3.37780335,4,4,2.055310072,19,6
200,0,4.9,4.854457905,3.37780335,5,4,2.055310072,20,6
201,0,4.9,4.854457905,3.37780335,24,3,2.055310072,21,6
202,0,4.9,4.854457905,3.37780335,25,4,2.055310072,22,6
203,0,4.9,4.854457905,3.37780335,16,4,2.055310072,23,6
204,0,4.9,4.854457905,3.37780335,10,4,2.055310072,24,6
205,0,4.9,4.854457905,3.37780335,13,3,2.055310072,25,6
206,0,4.9,4.854457905,3.37780335,18,3,2.055310072,26,6
207,0,4.9,4.854457905,3.37780335,25,4,2.055310072,27,6
208,0,4.9,4.854457905,3.37780335,18,5,2.055310072,28,6
209,0,4.9,4.854457905,3.37780335,13,4,2.055310072,29,6
210,0,4.9,4.854457905,3.37780335,14,3,2.055310072,30,6
211,0,4.9,4.854457905,3.37780335,6,4,2.055310072,31,6
212,0,4.9,4.854457905,3.37780335,32,3,2.055310072,32,6
213,0,4.9,4.854457905,3.37780335,36,3,2.055310072,33,6
214,0,4.9,4.854457905,3.37780335,15,3,2.055310072,34,6
215,0,4.9,4.854457905,3.37780335,8,3,2.055310072,35,6
216,0,4.9,4.854457905,3.37780335,8,4,2.055310072,36,6
217,0,5.9,4.114222554,3.870694438,0,7,1.526953916,1,7
218,0,5.9,4.114222554,3.870694438,4,7,1.526953916,2,7
219,0,5.9,4.114222554,3.870694438,2,6,1.526953916,3,7
220,0,5.9,4.114222554,3.870694438,2,5,1.526953916,4,7
221,0,5.9,4.114222554,3.870694438,2,5,1.526953916,5,7
