,mus,building_id,wk_ind,date,traps,floors,sq_footage_p_floor,live_in_super,monthly_average_rent,average_tenant_age,age_of_building,total_sq_foot,month,complaints
1,0.369133532,37,1,2017-01-15,8,8,5149.008112,0,3846.94905,53.87742357,47,41192.06489,1,1
2,0.3593549696,37,2,2017-02-14,8,8,5149.008112,0,3846.94905,53.87742357,47,41192.06489,2,3
3,0.2817826075,37,3,2017-03-16,9,8,5149.008112,0,3846.94905,53.87742357,47,41192.06489,3,0
4,0.1292538822,37,4,2017-04-15,10,8,5149.008112,0,3846.94905,53.87742357,47,41192.06489,4,1
5,0.4520411876,37,5,2017-05-15,11,8,5149.008112,0,3846.94905,53.87742357,47,41192.06489,5,0
6,0.4421304542,37,6,2017-06-14,11,8,5149.008112,0,3846.94905,53.87742357,47,41192.06489,6,0
7,0.990864817,37,7,2017-07-14,10,8,5149.008112,0,3846.94905,53.87742357,47,41192.06489,7,4
8,0.7859767236,37,8,2017-08-13,10,8,5149.008112,0,3846.94905,53.87742357,47,41192.06489,8,3
9,0.6917967724,37,9,2017-09-12,9,8,5149.008112,0,3846.94905,53.87742357,47,41192.06489,9,2
10,0.4806956513,37,10,2017-10-12,9,8,5149.008112,0,3846.94905,53.87742357,47,41192.06489,10,2
11,0.5624306352,37,11,2017-11-11,8,8,5149.008112,0,3846.94905,53.87742357,47,41192.06489,11,0
12,0.2817826075,37,12,2017-12-11,9,8,5149.008112,0,3846.94905,53.87742357,47,41192.06489,12,4
13,0.520013552,13,1,2017-01-15,7,9,5165.969711,0,3563.515732,49.56661803,43,46493.7274,1,1
14,0.5102349896,13,2,2017-02-14,7,9,5165.969711,0,3563.515732,49.56661803,43,46493.7274,2,3
15,0.4317983477,13,3,2017-03-16,8,9,5165.969711,0,3563.515732,49.56661803,43,46493.7274,3,7
16,0.2784053426,13,4,2017-04-15,9,9,5165.969711,0,3563.515732,49.56661803,43,46493.7274,4,1
17,0.6003283682,13,5,2017-05-15,10,9,5165.969711,0,3563.515732,49.56661803,43,46493.7274,5,1
18,0.807870291,13,6,2017-06-14,9,9,5165.969711,0,3563.515732,49.56661803,43,46493.7274,6,4
19,1.140016277,13,7,2017-07-14,9,9,5165.969711,0,3563.515732,49.56661803,43,46493.7274,7,0
20,0.7176755276,13,8,2017-08-13,10,9,5165.969711,0,3563.515732,49.56661803,43,46493.7274,8,4
21,0.4069072,13,9,2017-09-12,10,9,5165.969711,0,3563.515732,49.56661803,43,46493.7274,9,1
22,0.4132587352,13,10,2017-10-12,9,9,5165.969711,0,3563.515732,49.56661803,43,46493.7274,10,2
23,0.2784053426,13,11,2017-11-11,9,9,5165.969711,0,3563.515732,49.56661803,43,46493.7274,11,1
24,0.4317983477,13,12,2017-12-11,8,9,5165.969711,0,3563.515732,49.56661803,43,46493.7274,12,1
25,1.330240729,5,1,2017-01-15,8,14,5045.836544,0,3028.668375,47.85826135,49,70641.71162,1,7
26,1.320462167,5,2,2017-02-14,8,14,5045.836544,0,3028.668375,47.85826135,49,70641.71162,2,2
27,1.668411111,5,3,2017-03-16,7,14,5045.836544,0,3028.668375,47.85826135,49,70641.71162,3,2
28,1.941403691,5,4,2017-04-15,6,14,5045.836544,0,3028.668375,47.85826135,49,70641.71162,4,5
29,2.480779373,5,5,2017-05-15,6,14,5045.836544,0,3028.668375,47.85826135,49,70641.71162,5,12
30,2.26193571,5,6,2017-06-14,7,14,5045.836544,0,3028.668375,47.85826135,49,70641.71162,6,7
31,2.803014626,5,7,2017-07-14,6,14,5045.836544,0,3028.668375,47.85826135,49,70641.71162,7,5
32,2.389193603,5,8,2017-08-13,7,14,5045.836544,0,3028.668375,47.85826135,49,70641.71162,8,18
33,2.078425276,5,9,2017-09-12,7,14,5045.836544,0,3028.668375,47.85826135,49,70641.71162,9,9
34,1.867324155,5,10,2017-10-12,7,14,5045.836544,0,3028.668375,47.85826135,49,70641.71162,10,4
35,1.732470762,5,11,2017-11-11,7,14,5045.836544,0,3028.668375,47.85826135,49,70641.71162,11,9
36,1.459478181,5,12,2017-12-11,8,14,5045.836544,0,3028.668375,47.85826135,49,70641.71162,12,0
37,1.007237412,26,1,2017-01-15,6,10,4769.811965,0,4019.236837,47.33670299,51,47698.11965,1,1
38,0.99745885,26,2,2017-02-14,6,10,4769.811965,0,4019.236837,47.33670299,51,47698.11965,2,6
39,0.9352106766,26,3,2017-03-16,7,10,4769.811965,0,4019.236837,47.33670299,51,47698.11965,3,8
40,0.9992703277,26,4,2017-04-15,7,10,4769.811965,0,4019.236837,47.33670299,51,47698.11965,4,2
41,1.739910197,26,5,2017-05-15,6,10,4769.811965,0,4019.236837,47.33670299,51,47698.11965,5,1
42,1.528735276,26,6,2017-06-14,7,10,4769.811965,0,4019.236837,47.33670299,51,47698.11965,6,2
43,1.860881263,26,7,2017-07-14,7,10,4769.811965,0,4019.236837,47.33670299,51,47698.11965,7,12
44,1.857257357,26,8,2017-08-13,6,10,4769.811965,0,4019.236837,47.33670299,51,47698.11965,8,12
45,1.345224841,26,9,2017-09-12,7,10,4769.811965,0,4019.236837,47.33670299,51,47698.11965,9,0
46,1.335387908,26,10,2017-10-12,6,10,4769.811965,0,4019.236837,47.33670299,51,47698.11965,10,4
47,0.9992703277,26,11,2017-11-11,7,10,4769.811965,0,4019.236837,47.33670299,51,47698.11965,11,2
48,0.7339464887,26,12,2017-12-11,8,10,4769.811965,0,4019.236837,47.33670299,51,47698.11965,12,9
49,0.8797047464,93,1,2017-01-15,7,10,5740.006448,1,3676.609745,45.13705115,49,57400.06448,1,1
50,0.869926184,93,2,2017-02-14,7,10,5740.006448,1,3676.609745,45.13705115,49,57400.06448,2,4
51,0.7749234671,93,3,2017-03-16,8,10,5740.006448,1,3676.609745,45.13705115,49,57400.06448,3,0
52,1.07300185,93,4,2017-04-15,7,10,5740.006448,1,3676.609745,45.13705115,49,57400.06448,4,6
53,1.846396263,93,5,2017-05-15,6,10,5740.006448,1,3676.609745,45.13705115,49,57400.06448,5,1
54,1.836485529,93,6,2017-06-14,6,10,5740.006448,1,3676.609745,45.13705115,49,57400.06448,6,9
55,1.934612784,93,7,2017-07-14,7,10,5740.006448,1,3676.609745,45.13705115,49,57400.06448,7,6
56,1.729724691,93,8,2017-08-13,7,10,5740.006448,1,3676.609745,45.13705115,49,57400.06448,8,5
57,1.652975095,93,9,2017-09-12,6,10,5740.006448,1,3676.609745,45.13705115,49,57400.06448,9,1
58,1.441873974,93,10,2017-10-12,6,10,5740.006448,1,3676.609745,45.13705115,49,57400.06448,10,0
59,1.307020581,93,11,2017-11-11,6,10,5740.006448,1,3676.609745,45.13705115,49,57400.06448,11,3
60,1.008942198,93,12,2017-12-11,7,10,5740.006448,1,3676.609745,45.13705115,49,57400.06448,12,6
61,1.113462335,47,1,2017-01-15,7,15,5206.17262,0,3377.80335,48.54457905,49,78092.58931,1,3
62,1.103683772,47,2,2017-02-14,7,15,5206.17262,0,3377.80335,48.54457905,49,78092.58931,2,1
63,1.242699787,47,3,2017-03-16,7,15,5206.17262,0,3377.80335,48.54457905,49,78092.58931,3,9
64,1.102491034,47,4,2017-04-15,8,15,5206.17262,0,3377.80335,48.54457905,49,78092.58931,4,3
65,1.84613512,47,5,2017-05-15,7,15,5206.17262,0,3377.80335,48.54457905,49,78092.58931,5,2
66,1.836224387,47,6,2017-06-14,7,15,5206.17262,0,3377.80335,48.54457905,49,78092.58931,6,9
67,2.168370373,47,7,2017-07-14,7,15,5206.17262,0,3377.80335,48.54457905,49,78092.58931,7,3
68,2.167750684,47,8,2017-08-13,6,15,5206.17262,0,3377.80335,48.54457905,49,78092.58931,8,8
69,1.856982356,47,9,2017-09-12,6,15,5206.17262,0,3377.80335,48.54457905,49,78092.58931,9,3
70,1.85014964,47,10,2017-10-12,5,15,5206.17262,0,3377.80335,48.54457905,49,78092.58931,10,1
71,1.511027843,47,11,2017-11-11,6,15,5206.17262,0,3377.80335,48.54457905,49,78092.58931,11,9
72,1.242699787,47,12,2017-12-11,7,15,5206.17262,0,3377.80335,48.54457905,49,78092.58931,12,1
73,1.383088706,45,1,2017-01-15,5,11,4185.57352,0,3870.694438,41.14222554,59,46041.30872,1,6
74,1.373310144,45,2,2017-02-14,5,11,4185.57352,0,3870.694438,41.14222554,59,46041.30872,2,5
75,1.337382001,45,3,2017-03-16,6,11,4185.57352,0,3870.694438,41.14222554,59,46041.30872,3,0
76,1.401441652,45,4,2017-04-15,6,11,4185.57352,0,3870.694438,41.14222554,59,46041.30872,4,4
77,1.765873176,45,5,2017-05-15,7,11,4185.57352,0,3870.694438,41.14222554,59,46041.30872,5,6
78,1.581018285,45,6,2017-06-14,8,11,4185.57352,0,3870.694438,41.14222554,59,46041.30872,6,9
79,1.738220114,45,7,2017-07-14,9,11,4185.57352,0,3870.694438,41.14222554,59,46041.30872,7,1
80,1.533332021,45,8,2017-08-13,9,11,4185.57352,0,3870.694438,41.14222554,59,46041.30872,8,2
81,1.222563693,45,9,2017-09-12,9,11,4185.57352,0,3870.694438,41.14222554,59,46041.30872,9,8
82,1.011462572,45,10,2017-10-12,9,11,4185.57352,0,3870.694438,41.14222554,59,46041.30872,10,0
83,0.8766091792,45,11,2017-11-11,9,11,4185.57352,0,3870.694438,41.14222554,59,46041.30872,11,2
84,0.6376053705,45,12,2017-12-11,10,11,4185.57352,0,3870.694438,41.14222554,59,46041.30872,12,1
85,-0.06467475909,70,1,2017-01-15,7,5,5290.449423,1,3863.657544,65.18269176,48,26452.24711,1,2
86,-0.07445332147,70,2,2017-02-14,7,5,5290.449423,1,3863.657544,65.18269176,48,26452.24711,2,2
87,0.06456269298,70,3,2017-03-16,7,5,5290.449423,1,3863.657544,65.18269176,48,26452.24711,3,0
88,0.3957142407,70,4,2017-04-15,6,5,5290.449423,1,3863.657544,65.18269176,48,26452.24711,4,0
89,1.202181819,70,5,2017-05-15,5,5,5290.449423,1,3863.657544,65.18269176,48,26452.24711,5,0
90,1.459362982,70,6,2017-06-14,4,5,5290.449423,1,3863.657544,65.18269176,48,26452.24711,6,2
91,1.791508969,70,7,2017-07-14,4,5,5290.449423,1,3863.657544,65.18269176,48,26452.24711,7,15
92,1.319528979,70,8,2017-08-13,5,5,5290.449423,1,3863.657544,65.18269176,48,26452.24711,8,3
93,1.008760651,70,9,2017-09-12,5,5,5290.449423,1,3863.657544,65.18269176,48,26452.24711,9,3
94,0.5305676333,70,10,2017-10-12,6,5,5290.449423,1,3863.657544,65.18269176,48,26452.24711,10,9
95,0.6628061372,70,11,2017-11-11,5,5,5290.449423,1,3863.657544,65.18269176,48,26452.24711,11,0
96,0.598746486,70,12,2017-12-11,5,5,5290.449423,1,3863.657544,65.18269176,48,26452.24711,12,1
97,-0.1008303365,62,1,2017-01-15,8,4,4804.204982,0,3840.237746,58.45573399,60,19216.81993,1,0
98,0.05574266124,62,2,2017-02-14,7,4,4804.204982,0,3840.237746,58.45573399,60,19216.81993,2,0
